source_ip,destination_ip,source_port,destination_port,protocol,start_time,last_seen,min_packet_size,max_packet_size,total_packet_size,packet_count,total_bytes,syn_count,ack_count,fin_count,rst_count,psh_count,duration,average_size,packets_per_second,bytes_per_second
172.16.82.58,239.255.255.250,49360.0,1900.0,17,2026-08-26 21:15:10.677283,2026-08-26 21:15:10.677283,546,546,1092,1,546,0,0,0,0,0,0.0,1092.0,0.0,0.0
4.150.223.99,172.16.82.39,443.0,62249.0,6,2026-08-26 18:16:21.612243,2026-08-26 18:16:22.369350,54,5564,14343,17,14190,0,17,2,0,8,0.757107,843.7058823529412,22.453893571186107,18742.397045595935
4.150.223.107,172.16.82.39,443.0,64514.0,6,2026-08-26 18:16:21.680526,2026-08-26 18:17:03.532356,54,16460,183361,89,183307,0,89,0,0,42,41.85183,2060.2359550561796,2.1265497828888247,4379.904056764065
172.217.116.4,172.16.82.39,443.0,62251.0,6,2026-08-26 18:16:21.912468,2026-08-26 18:16:57.849848,54,15494,54349,68,54117,0,68,0,0,23,35.93738,799.25,1.8921802312800768,1505.8693761203517
172.217.119.4,172.16.82.39,443.0,51690.0,6,2026-08-26 18:16:21.929048,2026-08-26 18:16:55.713399,54,1054,8209,19,7383,0,19,0,0,13,33.784351,432.05263157894734,0.5623905576874927,218.53313091614515
172.217.119.4,172.16.82.39,443.0,51691.0,6,2026-08-26 18:16:22.014734,2026-08-26 18:17:03.810615,54,1466,19809,39,19001,0,39,0,0,25,41.795881,507.9230769230769,0.9331063029871293,454.6141759758575
172.16.82.39,172.16.78.105,62250.0,7680.0,6,2026-08-26 18:16:22.185404,2026-08-26 18:16:28.207989,66,66,264,3,198,3,0,0,0,0,6.022585,88.0,0.49812497457487104,32.87624832194149
172.16.82.39,172.16.77.48,62252.0,7680.0,6,2026-08-26 18:16:22.232210,2026-08-26 18:16:29.272711,66,66,330,4,264,4,0,0,0,0,7.040501,82.5,0.5681413865291689,37.49733151092514
57.144.209.32,172.16.82.39,5222.0,62976.0,6,2026-08-26 18:16:22.309082,2026-08-26 18:17:00.143834,54,284,2510,17,2226,0,17,0,0,10,37.834752,147.64705882352942,0.4493223584497131,58.83479822994479
172.16.82.39,172.217.115.4,50098.0,443.0,6,2026-08-26 18:16:23.032533,2026-08-26 18:16:27.636152,54,78,542,8,487,0,6,2,2,1,4.603619,67.75,1.7377632684199105,105.78633896506204
172.16.82.39,4.150.223.99,62253.0,443.0,6,2026-08-26 18:16:23.213680,2026-08-26 18:16:24.542307,54,2381,11777,20,11711,2,19,2,0,9,1.328627,588.85,15.053133799027115,8814.362496020327
172.16.82.39,4.150.223.99,62254.0,443.0,6,2026-08-26 18:16:23.214356,2026-08-26 18:16:24.854252,54,1853,11465,24,11399,2,23,2,0,9,1.639896,477.7083333333333,14.635074419353423,6951.050554425403
172.16.82.39,4.150.223.99,62255.0,443.0,6,2026-08-26 18:16:23.214775,2026-08-26 18:16:24.510222,54,1933,11436,22,11370,2,21,2,0,9,1.295447,519.8181818181819,16.98255505628559,8776.89322681669
172.16.82.39,4.150.223.99,62256.0,443.0,6,2026-08-26 18:16:23.329658,2026-08-26 18:16:24.623229,54,1853,11303,21,11237,2,20,2,0,9,1.293571,538.2380952380952,16.234130171440146,8686.805749355854
172.16.82.39,4.150.223.99,62257.0,443.0,6,2026-08-26 18:16:23.330295,2026-08-26 18:16:24.689340,54,1933,11491,23,11425,2,22,2,0,9,1.359045,499.60869565217394,16.92364859147416,8406.638485112708
172.16.82.39,4.150.223.99,62258.0,443.0,6,2026-08-26 18:16:23.330736,2026-08-26 18:16:24.727030,54,1853,11357,22,11291,2,21,2,0,9,1.396294,516.2272727272727,15.755994081475679,8086.405871542813
172.16.82.39,4.150.223.99,62259.0,443.0,6,2026-08-26 18:16:23.331539,2026-08-26 18:16:24.685335,54,1933,11491,23,11425,2,22,2,0,9,1.353796,499.60869565217394,16.98926573870805,8439.23308977128
172.16.82.39,4.150.223.99,62260.0,443.0,6,2026-08-26 18:16:23.331984,2026-08-26 18:16:24.574087,54,1853,11248,20,11182,2,19,2,0,9,1.242103,562.4,16.101724253141647,9002.474029931496
172.16.82.39,4.150.223.99,62261.0,443.0,6,2026-08-26 18:16:23.332398,2026-08-26 18:16:24.619870,54,1933,11383,21,11317,2,20,2,0,9,1.287472,542.047619047619,16.31103433705743,8790.094075832329
172.16.82.39,4.150.223.99,62262.0,443.0,6,2026-08-26 18:16:23.332786,2026-08-26 18:16:24.612977,54,1853,11357,22,11291,2,21,2,0,9,1.280191,516.2272727272727,17.184935685378196,8819.777673800238
172.16.82.39,4.150.223.99,62263.0,443.0,6,2026-08-26 18:16:23.333141,2026-08-26 18:16:25.125516,54,1933,11383,21,11317,2,20,2,0,9,1.792375,542.047619047619,11.716298207685334,6313.968896017853
172.16.82.39,4.150.223.99,62264.0,443.0,6,2026-08-26 18:16:23.333501,2026-08-26 18:16:24.574803,54,1853,11248,20,11182,2,19,2,0,9,1.241302,562.4,16.112114537799826,9008.283238083883
172.16.82.39,4.150.223.99,62265.0,443.0,6,2026-08-26 18:16:23.333857,2026-08-26 18:16:24.781074,54,1933,11329,20,11263,2,19,2,0,9,1.447217,566.45,13.819627602494997,7782.523284345057
172.16.82.36,224.0.0.251,5353.0,5353.0,17,2026-08-26 18:16:24.159545,2026-08-26 21:15:09.781466,152,505,3638,9,3133,0,0,0,0,0,10725.621921,404.22222222222223,0.0008391121807471737,0.2921042735867661
172.16.82.1,172.16.82.39,,,ICMP,2026-08-26 18:16:24.211995,2026-08-26 18:16:30.246433,70,70,280,3,210,0,0,0,0,0,6.034438,93.33333333333333,0.497146544549799,34.800258118485935
172.16.82.39,172.253.158.188,62218.0,5228.0,6,2026-08-26 18:16:25.064496,2026-08-26 18:16:25.167753,55,66,176,2,121,0,2,0,0,0,0.103257,88.0,19.36914688592541,1171.8333865984873
150.171.22.12,172.16.82.39,443.0,51605.0,6,2026-08-26 18:16:25.115522,2026-08-26 18:17:03.875868,54,3208,12656,28,12010,0,28,0,0,14,38.760346,452.0,0.7223877722866561,309.85275518438357
172.16.83.159,172.16.83.255,59478.0,1534.0,17,2026-08-26 18:16:28.305317,2026-08-26 21:15:05.979143,56,56,280,4,224,0,0,0,0,0,10717.673826,70.0,0.0003732153137835191,0.02090005757187707
172.16.83.159,172.16.83.255,59456.0,1534.0,17,2026-08-26 18:16:28.507671,2026-08-26 21:15:06.042942,56,56,280,4,224,0,0,0,0,0,10717.535271,70.0,0.0003732201386659658,0.02090032776529409
104.18.39.21,172.16.82.39,443.0,63851.0,6,2026-08-26 18:16:28.521072,2026-08-26 18:16:28.536016,54,82,292,3,214,0,3,0,0,2,0.014944,97.33333333333333,200.74946466809422,14320.128479657387
140.82.112.26,172.16.82.39,443.0,63273.0,6,2026-08-26 18:16:30.678765,2026-08-26 18:16:30.946129,54,84,298,3,218,0,3,0,0,2,0.267364,99.33333333333333,11.220657979383912,815.3678131685642
172.16.82.39,172.16.40.3,58786.0,53.0,17,2026-08-26 18:16:54.919391,2026-08-26 18:16:56.146102,92,212,3436,22,3344,0,0,0,0,0,1.226711,156.1818181818182,17.934134445684435,2725.988435744034
172.16.82.39,20.184.175.19,54796.0,443.0,6,2026-08-26 18:16:54.930086,2026-08-26 18:16:56.479941,54,4179,13682,22,13616,2,21,2,0,9,1.549855,621.9090909090909,14.194876294879199,8785.33798323069
172.16.82.39,172.217.113.4,54797.0,443.0,6,2026-08-26 18:16:55.255205,2026-08-26 18:16:56.455210,54,6006,29361,36,29295,2,35,2,0,17,1.200005,815.5833333333334,29.99987500052083,24412.398281673828
172.16.82.39,8.8.4.4,49716.0,443.0,6,2026-08-26 18:16:55.347128,2026-08-26 18:16:55.362088,55,66,176,2,121,0,2,0,0,0,0.01496,88.0,133.6898395721925,8088.235294117648
172.16.82.39,20.184.175.19,54798.0,443.0,6,2026-08-26 18:16:56.130118,2026-08-26 18:16:57.416711,54,1853,11410,23,11344,2,22,2,0,9,1.286593,496.0869565217391,17.87667117728761,8817.08512326742
172.16.82.39,20.184.175.19,54799.0,443.0,6,2026-08-26 18:16:56.130961,2026-08-26 18:16:57.337286,54,1933,11436,22,11370,2,21,2,0,9,1.206325,519.8181818181819,18.23720804924046,9425.320705448365
