source_ip,destination_ip,source_port,destination_port,protocol,start_time,last_seen,min_packet_size,max_packet_size,total_packet_size,packet_count,total_bytes,syn_count,ack_count,fin_count,rst_count,psh_count,duration,average_packet_size,packets_per_second,bytes_per_second,label
104.18.39.21,172.16.82.39,443.0,50974.0,6,2026-08-26 23:16:44.328748,2026-08-26 23:16:44.345854,54,82,292,3,214,0,3,0,0,2,0.017106,97.33333333333333,175.377060680463,12510.230328539694,BENGIN
140.82.114.21,172.16.82.39,443.0,17034.0,6,2026-08-26 23:16:44.403775,2026-08-26 23:16:44.677041,54,669,1722,7,1053,0,6,2,1,3,0.273266,246.0,25.6160663968441,3853.388273696691,BENGIN
140.82.114.21,172.16.82.39,443.0,17033.0,6,2026-08-26 23:16:44.513244,2026-08-26 23:16:44.513244,60,60,120,1,60,0,0,0,1,0,0.0,120.0,0.0,0.0,BENGIN
150.171.22.12,172.16.82.39,443.0,54144.0,6,2026-08-26 23:16:45.244607,2026-08-26 23:16:48.811794,54,4440,15788,32,15638,0,32,0,0,17,3.567187,493.375,8.970653907406593,4383.846431375759,BENGIN
172.16.82.39,172.16.40.3,58259.0,53.0,17,2026-08-26 23:16:45.877783,2026-08-26 23:16:46.004849,92,213,2227,14,2135,0,0,0,0,0,0.127066,159.07142857142858,110.17896211417687,16802.291722411974,BENGIN
172.16.82.39,51.104.15.252,17035.0,443.0,6,2026-08-26 23:16:45.992270,2026-08-26 23:16:46.814685,54,2381,11711,21,11645,2,20,2,0,9,0.822415,557.6666666666666,25.534553722877135,14159.518004900203,BENGIN
172.16.82.39,51.104.15.252,17036.0,443.0,6,2026-08-26 23:16:45.992964,2026-08-26 23:16:46.789500,54,1853,11291,23,11225,2,22,2,0,9,0.796536,490.9130434782609,28.875028875028875,14092.269527052136,BENGIN
172.16.82.39,51.104.15.252,17037.0,443.0,6,2026-08-26 23:16:45.993397,2026-08-26 23:16:47.032967,54,1933,11317,22,11251,2,21,2,0,9,1.03957,514.4090909090909,21.16259607337649,10822.744019161768,BENGIN
172.16.82.39,51.104.15.252,17038.0,443.0,6,2026-08-26 23:16:45.993778,2026-08-26 23:16:47.209426,54,1853,11237,22,11171,2,21,2,0,9,1.215648,510.77272727272725,18.09734396799073,9189.337703019295,BENGIN
172.16.82.39,51.104.15.252,17039.0,443.0,6,2026-08-26 23:16:45.994137,2026-08-26 23:16:46.900038,54,1933,11263,21,11197,2,20,2,0,9,0.905901,536.3333333333334,23.181341007461082,12360.070250501987,BENGIN
172.16.82.39,51.104.15.252,17040.0,443.0,6,2026-08-26 23:16:45.994530,2026-08-26 23:16:46.817368,54,1853,11130,20,11064,2,19,2,0,9,0.822838,556.5,24.306121010454063,13446.146142983189,BENGIN
172.16.82.39,51.104.15.252,17041.0,443.0,6,2026-08-26 23:16:45.994892,2026-08-26 23:16:46.806468,54,1933,11210,20,11144,2,19,2,0,9,0.811576,560.5,24.643409859335417,13731.307973621695,BENGIN
172.16.82.39,51.104.15.252,17042.0,443.0,6,2026-08-26 23:16:45.995199,2026-08-26 23:16:46.806894,54,1853,11130,20,11064,2,19,2,0,9,0.811695,556.5,24.639796968072982,13630.735682737974,BENGIN
172.16.82.39,51.104.15.252,17043.0,443.0,6,2026-08-26 23:16:45.995578,2026-08-26 23:16:46.935722,54,1933,11263,21,11197,2,20,2,0,9,0.940144,536.3333333333334,22.337003693051276,11909.877635766436,BENGIN
172.16.82.39,51.104.15.252,17044.0,443.0,6,2026-08-26 23:16:45.995987,2026-08-26 23:16:46.816917,54,1853,11184,21,11118,2,20,2,0,9,0.82093,532.5714285714286,25.580743790578975,13543.176641126527,BENGIN
172.16.82.39,51.104.15.252,17045.0,443.0,6,2026-08-26 23:16:45.996321,2026-08-26 23:16:46.814232,54,1933,11210,20,11144,2,19,2,0,9,0.817911,560.5,24.452538234600095,13624.954304319173,BENGIN
172.16.82.39,51.104.15.252,17046.0,443.0,6,2026-08-26 23:16:46.005416,2026-08-26 23:16:46.805794,54,1853,11130,20,11064,2,19,2,0,9,0.800378,556.5,24.98819307877028,13823.46841117572,BENGIN
172.16.82.39,51.104.15.252,17047.0,443.0,6,2026-08-26 23:16:46.005799,2026-08-26 23:16:46.895504,54,1933,11264,21,11198,2,20,2,0,9,0.889705,536.3809523809524,23.603329193384326,12586.194300357984,BENGIN
172.16.82.39,172.217.119.4,24282.0,443.0,6,2026-08-26 23:16:46.464748,2026-08-26 23:16:46.485766,55,66,176,2,121,0,2,0,0,0,0.021018,88.0,95.15653249595586,5756.970216005329,BENGIN
172.16.82.39,172.16.40.3,64484.0,53.0,17,2026-08-26 23:16:47.126108,2026-08-26 23:16:47.180632,92,203,387,2,295,0,0,0,0,0,0.054524,193.5,36.681094563861784,5410.4614481696135,BENGIN
172.16.82.39,172.16.40.3,61065.0,53.0,17,2026-08-26 23:16:47.126725,2026-08-26 23:16:47.140705,92,219,403,2,311,0,0,0,0,0,0.01398,201.5,143.0615164520744,22246.065808297568,BENGIN
172.16.82.39,104.46.162.230,52301.0,443.0,6,2026-08-26 23:16:47.127149,2026-08-26 23:16:47.815019,54,6480,8805,9,8633,0,9,0,0,4,0.68787,978.3333333333334,13.083867591259978,12550.336546149709,BENGIN
172.16.82.95,239.255.255.250,51621.0,1900.0,17,2026-08-26 23:16:47.194453,2026-08-26 23:16:47.194453,171,171,342,1,171,0,0,0,0,0,0.0,342.0,0.0,0.0,BENGIN
140.82.114.21,172.16.82.39,443.0,51517.0,6,2026-08-26 23:16:47.576143,2026-08-26 23:16:47.577026,54,78,270,3,192,0,3,1,0,1,0.000883,90.0,3397.5084937712345,217440.543601359,BENGIN
172.16.82.36,224.0.0.251,5353.0,5353.0,17,2026-08-26 23:16:47.954866,2026-08-26 23:16:47.954866,505,505,1010,1,505,0,0,0,0,0,0.0,1010.0,0.0,0.0,BENGIN
172.16.82.39,172.217.114.4,31208.0,443.0,6,2026-08-26 23:16:49.283996,2026-08-26 23:16:49.299888,55,66,176,2,121,0,2,0,0,0,0.015892,88.0,125.84948401711553,7613.89378303549,BENGIN
172.16.82.39,172.217.117.4,34735.0,443.0,6,2026-08-26 23:16:49.950826,2026-08-26 23:16:49.967528,55,66,176,2,121,0,2,0,0,0,0.016702,88.0,119.74613818704346,7244.641360316129,BENGIN
172.16.82.39,8.8.4.4,22851.0,443.0,6,2026-08-26 23:16:50.447284,2026-08-26 23:16:50.489406,54,553,2968,17,2724,0,17,0,0,13,0.042122,174.58823529411765,403.589573144675,64669.293955652625,BENGIN
172.16.82.39,104.86.188.195,10689.0,443.0,6,2026-08-26 23:16:50.476164,2026-08-26 23:16:52.595477,54,54,270,4,216,0,4,4,0,0,2.119313,67.5,1.8874040785858437,101.91982024363556,BENGIN
172.16.82.39,150.171.28.11,46057.0,443.0,6,2026-08-26 23:16:50.476537,2026-08-26 23:16:51.176345,54,2298,19422,32,19356,2,31,0,0,14,0.699808,606.9375,45.7268279299465,27659.01504412639,BENGIN
172.16.82.39,172.217.117.4,38419.0,443.0,6,2026-08-26 23:16:50.703775,2026-08-26 23:16:50.725610,55,66,176,2,121,0,2,0,0,0,0.021835,88.0,91.59606136936111,5541.561712846347,BENGIN
172.64.148.235,172.16.82.39,443.0,27778.0,6,2026-08-26 23:16:51.112173,2026-08-26 23:16:51.134370,54,82,292,3,214,0,3,0,0,2,0.022197,97.33333333333333,135.15339910798755,9640.942469703112,BENGIN
172.16.82.39,172.217.114.4,63600.0,443.0,6,2026-08-26 23:16:51.560595,2026-08-26 23:16:51.592757,55,66,176,2,121,0,2,0,0,0,0.032162,88.0,62.18518748834027,3762.2038430445864,BENGIN
172.16.82.39,57.144.209.32,56977.0,5222.0,6,2026-08-26 23:16:52.578837,2026-08-26 23:16:53.175526,54,281,999,8,875,0,8,0,0,4,0.596689,124.875,13.407319390838444,1466.4255583729546,BENGIN
172.16.82.39,8.8.8.8,46613.0,443.0,6,2026-08-26 23:16:52.760394,2026-08-26 23:16:52.780357,55,66,176,2,121,0,2,0,0,0,0.019963,88.0,100.18534288433601,6061.213244502329,BENGIN
172.16.82.39,142.251.223.234,24120.0,443.0,6,2026-08-26 23:16:52.808483,2026-08-26 23:16:52.825040,55,66,176,2,121,0,2,0,0,0,0.016557,88.0,120.7948299812768,7308.087213867247,BENGIN
172.16.82.36,224.0.0.251,5353.0,5353.0,17,2026-08-26 23:19:21.103577,2026-08-26 23:19:28.897459,152,505,2628,7,2476,0,0,0,0,0,7.793882,375.42857142857144,0.898140361888979,317.6850765767303,SCAN
172.16.82.1,172.16.82.39,,,ICMP,2026-08-26 23:19:21.141121,2026-08-26 23:19:21.159475,70,70,280,3,210,0,0,0,0,0,0.018354,93.33333333333333,163.45210853220007,11441.647597254005,SCAN
172.16.82.39,172.217.114.4,63600.0,443.0,6,2026-08-26 23:19:21.847141,2026-08-26 23:19:21.863248,55,66,176,2,121,0,2,0,0,0,0.016107,88.0,124.16961569503943,7512.261749549885,SCAN
172.16.82.39,104.46.162.230,52301.0,443.0,6,2026-08-26 23:19:22.492506,2026-08-26 23:19:29.802461,54,6480,14525,23,14357,0,23,0,0,14,7.309955,631.5217391304348,3.146394198049099,1964.033978321344,SCAN
172.16.82.39,172.16.40.3,54387.0,53.0,17,2026-08-26 23:19:22.620312,2026-08-26 23:19:22.643002,92,215,399,2,307,0,0,0,0,0,0.02269,199.5,88.14455707360071,13530.189510797709,SCAN
172.16.82.39,4.150.223.99,11022.0,443.0,6,2026-08-26 23:19:22.643816,2026-08-26 23:19:24.022059,54,2381,11831,21,11765,2,20,2,0,9,1.378243,563.3809523809524,15.23679060949339,8536.230548604273,SCAN
172.16.82.39,4.150.223.99,11023.0,443.0,6,2026-08-26 23:19:22.644249,2026-08-26 23:19:24.014943,54,1853,11249,20,11183,2,19,2,0,9,1.370694,562.45,14.591148717365071,8158.64080531468,SCAN
172.16.82.39,4.150.223.99,11024.0,443.0,6,2026-08-26 23:19:22.644605,2026-08-26 23:19:24.009859,54,1933,11383,21,11317,2,20,2,0,9,1.365254,542.047619047619,15.381753138976338,8289.300013037868,SCAN
172.16.82.39,4.150.223.99,11025.0,443.0,6,2026-08-26 23:19:22.718525,2026-08-26 23:19:24.122792,54,1853,11357,22,11291,2,21,2,0,9,1.404267,516.2272727272727,15.666536349568851,8040.493723771904,SCAN
172.16.82.39,4.150.223.99,11026.0,443.0,6,2026-08-26 23:19:22.719284,2026-08-26 23:19:24.217785,54,1933,11545,24,11479,2,23,2,0,9,1.498501,481.0416666666667,16.016005327991106,7660.321881667079,SCAN
172.16.82.39,4.150.223.99,11027.0,443.0,6,2026-08-26 23:19:22.719697,2026-08-26 23:19:24.109941,54,1853,11303,21,11237,2,20,2,0,9,1.390244,538.2380952380952,15.105262097876343,8082.753818754118,SCAN
172.16.82.39,4.150.223.99,11028.0,443.0,6,2026-08-26 23:19:22.720163,2026-08-26 23:19:24.010451,54,1933,11437,22,11371,2,21,2,0,9,1.290288,519.8636363636364,17.050456952246318,8812.761181999676,SCAN
172.16.82.39,4.150.223.99,11029.0,443.0,6,2026-08-26 23:19:22.720484,2026-08-26 23:19:24.010849,54,1853,11303,21,11237,2,20,2,0,9,1.290365,538.2380952380952,16.274464976963884,8708.388711721102,SCAN
172.16.82.39,4.150.223.99,11030.0,443.0,6,2026-08-26 23:19:22.720775,2026-08-26 23:19:24.123506,54,1933,11383,21,11317,2,20,2,0,9,1.402731,542.047619047619,14.97079625387904,8067.8333907213855,SCAN
172.16.82.39,4.150.223.99,11031.0,443.0,6,2026-08-26 23:19:22.721057,2026-08-26 23:19:24.103045,54,1853,11357,22,11291,2,21,2,0,9,1.381988,516.2272727272727,15.919096258433504,8170.114356998758,SCAN
172.16.82.39,4.150.223.99,11032.0,443.0,6,2026-08-26 23:19:22.721335,2026-08-26 23:19:24.049055,54,1933,11437,22,11371,2,21,2,0,9,1.32772,519.8636363636364,16.56975868405989,8564.305727111137,SCAN
172.16.82.39,4.150.223.99,11033.0,443.0,6,2026-08-26 23:19:22.721626,2026-08-26 23:19:24.014581,54,1853,11357,22,11291,2,21,2,0,9,1.292955,516.2272727272727,17.015286688245144,8732.709181680722,SCAN
172.16.82.39,4.150.223.99,11034.0,443.0,6,2026-08-26 23:19:22.721924,2026-08-26 23:19:24.015725,54,1933,11437,22,11371,2,21,2,0,9,1.293801,519.8636363636364,17.00416060893445,8788.832285645165,SCAN
172.16.82.39,172.217.112.4,17840.0,443.0,6,2026-08-26 23:19:22.883166,2026-08-26 23:19:22.932501,55,66,176,2,121,0,2,0,0,0,0.049335,88.0,40.53917097395359,2452.619843924192,SCAN
104.18.39.21,172.16.82.39,443.0,50974.0,6,2026-08-26 23:19:24.328775,2026-08-26 23:19:24.354882,54,82,292,3,214,0,3,0,0,2,0.026107,97.33333333333333,114.91170950319837,8197.035277894816,SCAN
172.16.82.39,172.217.119.4,24282.0,443.0,6,2026-08-26 23:19:24.904072,2026-08-26 23:19:24.921423,55,66,176,2,121,0,2,0,0,0,0.017351,88.0,115.2671315774307,6973.661460434558,SCAN
172.16.83.159,172.16.83.255,59478.0,1534.0,17,2026-08-26 23:19:26.340779,2026-08-26 23:19:26.340779,56,56,112,1,56,0,0,0,0,0,0.0,112.0,0.0,0.0,SCAN
172.16.83.159,172.16.83.255,59456.0,1534.0,17,2026-08-26 23:19:26.341533,2026-08-26 23:19:26.341533,56,56,112,1,56,0,0,0,0,0,0.0,112.0,0.0,0.0,SCAN
172.16.83.159,172.16.83.255,1534.0,1534.0,17,2026-08-26 23:19:26.525747,2026-08-26 23:19:26.525747,56,56,112,1,56,0,0,0,0,0,0.0,112.0,0.0,0.0,SCAN
172.16.82.39,172.16.40.3,59200.0,53.0,17,2026-08-26 23:19:26.672638,2026-08-26 23:19:31.033791,76,270,518,3,432,0,0,0,0,0,4.361153,172.66666666666666,0.6878914819085687,99.0563733948339,SCAN
172.16.82.39,52.123.128.14,11035.0,443.0,6,2026-08-26 23:19:26.690477,2026-08-26 23:19:26.849915,54,1514,63251,60,63185,2,59,0,0,13,0.159438,1054.1833333333334,376.3218304293832,396298.24759467633,SCAN
150.171.22.12,172.16.82.39,443.0,54144.0,6,2026-08-26 23:19:27.109348,2026-08-26 23:19:30.859007,54,646,1760,7,1114,0,7,0,0,5,3.749659,251.42857142857142,1.8668364243255187,297.09368238551826,SCAN
172.16.82.39,52.123.128.14,11036.0,443.0,6,2026-08-26 23:19:27.313188,2026-08-26 23:19:27.645848,54,1514,62763,60,62697,2,59,0,0,13,0.33266,1046.05,180.36433595863645,188471.71285997715,SCAN
172.16.82.39,52.123.128.14,11037.0,443.0,6,2026-08-26 23:19:27.539989,2026-08-26 23:19:27.800054,54,1514,53875,49,53809,2,48,0,0,11,0.260065,1099.4897959183672,188.41443485282525,206905.96581623825,SCAN
